2014-10-11 16:42:30,150 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ssm:smsc:1.0.0-BUILD-SNAPSHOT @ C:\Users\WONJA\Documents\SMSC\1222offon\pom.xml.
2014-10-11 16:42:30,961 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:42:30,961 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-10-11 16:42:30,977 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:42:30,977 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-11 16:42:32,225 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ssm:smsc:1.0.0-BUILD-SNAPSHOT @ C:\Users\WONJA\Documents\SMSC\1222offon\pom.xml.
2014-10-11 16:42:34,502 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:42:34,502 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-10-11 16:42:34,518 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:42:34,518 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-11 16:42:36,561 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:42:36,561 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:42:36,577 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:42:36,577 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:46:31,790 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:46:31,791 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:46:31,793 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:46:31,794 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:47:59,156 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:47:59,158 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-10-11 16:47:59,160 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:47:59,161 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-11 16:47:59,179 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of 1222offon
2014-10-11 16:47:59,180 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for 1222offon
